# Unicode 17.0 sequences supplementing the existing Twemoji catalog.
# Code points	PNG filename	Unicode name	Emoji version
1F9CF 200D 2642	1f9cf-200d-2642-fe0f.png	deaf man	12.0
1F9CF 1F3FB 200D 2642	1f9cf-1f3fb-200d-2642-fe0f.png	deaf man: light skin tone	12.0
1F9CF 1F3FC 200D 2642	1f9cf-1f3fc-200d-2642-fe0f.png	deaf man: medium-light skin tone	12.0
1F9CF 1F3FD 200D 2642	1f9cf-1f3fd-200d-2642-fe0f.png	deaf man: medium skin tone	12.0
1F9CF 1F3FE 200D 2642	1f9cf-1f3fe-200d-2642-fe0f.png	deaf man: medium-dark skin tone	12.0
1F9CF 1F3FF 200D 2642	1f9cf-1f3ff-200d-2642-fe0f.png	deaf man: dark skin tone	12.0
1F9CF 200D 2640	1f9cf-200d-2640-fe0f.png	deaf woman	12.0
1F9CF 1F3FB 200D 2640	1f9cf-1f3fb-200d-2640-fe0f.png	deaf woman: light skin tone	12.0
1F9CF 1F3FC 200D 2640	1f9cf-1f3fc-200d-2640-fe0f.png	deaf woman: medium-light skin tone	12.0
1F9CF 1F3FD 200D 2640	1f9cf-1f3fd-200d-2640-fe0f.png	deaf woman: medium skin tone	12.0
1F9CF 1F3FE 200D 2640	1f9cf-1f3fe-200d-2640-fe0f.png	deaf woman: medium-dark skin tone	12.0
1F9CF 1F3FF 200D 2640	1f9cf-1f3ff-200d-2640-fe0f.png	deaf woman: dark skin tone	12.0
1F647 200D 2642	1f647-200d-2642-fe0f.png	man bowing	4.0
1F647 1F3FB 200D 2642	1f647-1f3fb-200d-2642-fe0f.png	man bowing: light skin tone	4.0
1F647 1F3FC 200D 2642	1f647-1f3fc-200d-2642-fe0f.png	man bowing: medium-light skin tone	4.0
1F647 1F3FD 200D 2642	1f647-1f3fd-200d-2642-fe0f.png	man bowing: medium skin tone	4.0
1F647 1F3FE 200D 2642	1f647-1f3fe-200d-2642-fe0f.png	man bowing: medium-dark skin tone	4.0
1F647 1F3FF 200D 2642	1f647-1f3ff-200d-2642-fe0f.png	man bowing: dark skin tone	4.0
1F647 200D 2640	1f647-200d-2640-fe0f.png	woman bowing	4.0
1F647 1F3FB 200D 2640	1f647-1f3fb-200d-2640-fe0f.png	woman bowing: light skin tone	4.0
1F647 1F3FC 200D 2640	1f647-1f3fc-200d-2640-fe0f.png	woman bowing: medium-light skin tone	4.0
1F647 1F3FD 200D 2640	1f647-1f3fd-200d-2640-fe0f.png	woman bowing: medium skin tone	4.0
1F647 1F3FE 200D 2640	1f647-1f3fe-200d-2640-fe0f.png	woman bowing: medium-dark skin tone	4.0
1F647 1F3FF 200D 2640	1f647-1f3ff-200d-2640-fe0f.png	woman bowing: dark skin tone	4.0
1F926 200D 2642	1f926-200d-2642-fe0f.png	man facepalming	4.0
1F926 1F3FB 200D 2642	1f926-1f3fb-200d-2642-fe0f.png	man facepalming: light skin tone	4.0
1F926 1F3FC 200D 2642	1f926-1f3fc-200d-2642-fe0f.png	man facepalming: medium-light skin tone	4.0
1F926 1F3FD 200D 2642	1f926-1f3fd-200d-2642-fe0f.png	man facepalming: medium skin tone	4.0
1F926 1F3FE 200D 2642	1f926-1f3fe-200d-2642-fe0f.png	man facepalming: medium-dark skin tone	4.0
1F926 1F3FF 200D 2642	1f926-1f3ff-200d-2642-fe0f.png	man facepalming: dark skin tone	4.0
1F926 200D 2640	1f926-200d-2640-fe0f.png	woman facepalming	4.0
1F926 1F3FB 200D 2640	1f926-1f3fb-200d-2640-fe0f.png	woman facepalming: light skin tone	4.0
